,incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,cad_number,report_type_code,report_type_description,filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,cnn,police_district,analysis_neighborhood,supervisor_district,latitude,longitude,point,daynum
5709,2018-11-08 16:00:00,2018-11-08 00:00:00,16:00,2018,Thursday,2018-11-08 16:00:00,73533019090,735330,180849378,183122702.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,EDDY ST \ JONES ST,24929000.0,Tenderloin,Tenderloin,6.0,37.7839325760642,-122.4125952775858,"(37.7839325760642, -122.41259527758581)",3
5744,2018-11-08 18:35:00,2018-11-08 00:00:00,18:35,2018,Thursday,2018-11-08 18:35:00,73536019090,735360,180849760,183123340.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,MIRAMAR AVE \ OCEAN AVE,22629000.0,Taraval,Oceanview/Merced/Ingleside,7.0,37.72431753437007,-122.45819139221014,"(37.724317534370066, -122.45819139221014)",3
7723,2018-11-13 04:09:00,2018-11-13 00:00:00,04:09,2018,Tuesday,2018-11-13 04:09:00,73701619090,737016,180861388,183170289.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,SANCHEZ ST \ MARKET ST,25806000.0,Mission,Castro/Upper Market,8.0,37.76586798554969,-122.43102547213662,"(37.765867985549704, -122.43102547213662)",1
8223,2018-11-14 11:09:00,2018-11-14 00:00:00,11:09,2018,Wednesday,2018-11-14 11:09:00,73745819090,737458,180864508,183181533.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,HAIGHT ST \ MASONIC AVE,26342000.0,Park,Haight Ashbury,5.0,37.77021017395845,-122.44534499148274,"(37.77021017395845, -122.44534499148274)",2
9268,2018-11-17 00:15:00,2018-11-17 00:00:00,00:15,2018,Saturday,2018-11-17 01:48:00,73844619090,738446,180871779,183203893.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,STOCKTON ST \ CAMPTON PL,24907000.0,Central,Financial District/South Beach,3.0,37.788986292481376,-122.40686503276359,"(37.788986292481376, -122.40686503276359)",5
9443,2018-11-17 14:54:00,2018-11-17 00:00:00,14:54,2018,Saturday,2018-11-17 14:54:00,73861519090,738615,180872802,183212063.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,SPENCER ST \ 16TH ST,25704000.0,Mission,Mission,8.0,37.76475494218713,-122.4245743772658,"(37.764754942187125, -122.42457437726581)",5
9678,2018-11-18 02:55:00,2018-11-18 00:00:00,02:55,2018,Sunday,2018-11-18 03:01:00,73881119090,738811,180874159,183220365.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,BAY ST \ MASON ST,25473000.0,Central,North Beach,3.0,37.80561847896117,-122.41360416993443,"(37.805618478961165, -122.41360416993442)",6
9890,2018-11-19 00:06:00,2018-11-19 00:00:00,00:06,2018,Monday,2018-11-19 00:06:00,73900019090,739000,180876149,183230019.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,WELSH ST \ 05TH ST,23888000.0,Southern,South of Market,6.0,37.777371994504854,-122.39976258647587,"(37.77737199450485, -122.39976258647586)",0
10439,2018-11-20 01:00:00,2018-11-20 00:00:00,01:00,2018,Tuesday,2018-11-20 01:14:00,73949619090,739496,180878866,183240130.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,PINE ST \ STOCKTON ST,24979000.0,Central,Financial District/South Beach,3.0,37.79129813497031,-122.40732292998459,"(37.79129813497031, -122.40732292998459)",1
11177,2018-11-22 01:33:00,2018-11-22 00:00:00,01:33,2018,Thursday,2018-11-22 01:33:00,74011419090,740114,180883940,183260136.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,19TH ST \ MISSION ST,24145000.0,Mission,Mission,9.0,37.760235354071796,-122.41920604493744,"(37.7602353540718, -122.41920604493745)",3
11953,2018-11-23 22:03:00,2018-11-23 00:00:00,22:03,2018,Friday,2018-11-23 22:03:00,74082419090,740824,180887685,183273603.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,HAYES ST \ POLK ST,24436000.0,Northern,Tenderloin,6.0,37.777511710206454,-122.41804316781624,"(37.77751171020645, -122.41804316781624)",4
12361,2018-11-25 00:36:00,2018-11-25 00:00:00,00:36,2018,Sunday,2018-11-25 00:36:00,74114219090,741142,180890440,183290087.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,37.760888932091525,-122.43500070269909,"(37.76088893209152, -122.4350007026991)",6
12625,2018-11-25 20:59:00,2018-11-25 00:00:00,20:59,2018,Sunday,2018-11-25 20:59:00,74138319090,741383,180830678,183293225.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,21ST ST \ POTRERO AVE,24000000.0,Mission,Mission,10.0,37.75776205694905,-122.4067997377898,"(37.75776205694905, -122.4067997377898)",6
12714,2018-11-26 00:46:00,2018-11-26 00:00:00,00:46,2018,Monday,2018-11-26 00:46:00,74144219090,741442,180892797,183300077.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,37.760888932091525,-122.43500070269909,"(37.76088893209152, -122.4350007026991)",0
15435,2018-12-02 22:45:00,2018-12-02 00:00:00,22:45,2018,Sunday,2018-12-02 22:45:00,74398919090,743989,180910719,183363783.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Juvenile,EDDY ST \ CYRIL MAGNIN ST,24893000.0,Tenderloin,Tenderloin,6.0,37.78445272883687,-122.40849315881205,"(37.78445272883687, -122.40849315881205)",6
15440,2018-12-02 23:00:00,2018-12-02 00:00:00,23:00,2018,Sunday,2018-12-03 23:00:00,74399319090,743993,180910725,183363819.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,NATOMA ST \ 06TH ST,24282000.0,Southern,South of Market,6.0,37.78016202513452,-122.40769141596378,"(37.78016202513452, -122.40769141596378)",6
15517,2018-12-03 07:32:00,2018-12-03 00:00:00,07:32,2018,Monday,2018-12-03 07:32:00,74406419090,744064,180911096,183370655.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,24TH ST \ HAMPSHIRE ST,23954000.0,Mission,Mission,9.0,37.75290661105615,-122.40729118425895,"(37.75290661105615, -122.40729118425897)",0
15804,2018-12-03 20:40:00,2018-12-03 00:00:00,20:40,2018,Monday,2018-12-03 20:43:00,74430519090,744305,180913387,183373931.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,STEUART ST \ MISSION ST,24552000.0,Southern,Financial District/South Beach,3.0,37.793230491320045,-122.3931813328012,"(37.79323049132005, -122.3931813328012)",0
16619,2018-12-05 11:40:00,2018-12-05 00:00:00,11:40,2018,Wednesday,2018-12-05 11:40:00,74508719090,745087,180917389,183391435.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,PACIFIC AVE \ MASON ST,25109000.0,Central,Chinatown,3.0,37.796290764675476,-122.4117189392694,"(37.796290764675476, -122.41171893926939)",2
16746,2018-12-05 21:54:00,2018-12-05 00:00:00,21:54,2018,Wednesday,2018-12-05 22:04:00,74518119090,745181,180919006,183393778.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,DENSLOWE DR \ HOLLOWAY AVE,23031000.0,Taraval,West of Twin Peaks,7.0,37.72119692139814,-122.47454732860477,"(37.72119692139814, -122.47454732860476)",2
17802,2018-12-08 15:10:00,2018-12-08 00:00:00,15:10,2018,Saturday,2018-12-08 15:13:00,74615019090,746150,180925962,183422336.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,POLK ST \ FERN ST,25209000.0,Northern,Nob Hill,3.0,37.78822269967202,-122.42021043633936,"(37.788222699672026, -122.42021043633935)",5
17832,2018-12-08 18:34:00,2018-12-08 00:00:00,18:34,2018,Saturday,2018-12-08 18:34:00,74614819090,746148,180926534,183423257.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,WALLER ST \ CENTRAL AVE,26339000.0,Park,Haight Ashbury,5.0,37.769496997180674,-122.44346144210763,"(37.769496997180674, -122.44346144210765)",5
17849,2018-12-08 20:00:00,2018-12-08 00:00:00,20:00,2018,Saturday,2018-12-08 20:36:00,74617019090,746170,180926716,183423691.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,GRANT AVE \ GREEN ST,25326000.0,Central,North Beach,3.0,37.79970367508504,-122.4073952442741,"(37.79970367508504, -122.4073952442741)",5
19133,2018-12-11 22:27:00,2018-12-11 00:00:00,22:27,2018,Tuesday,2018-12-11 22:28:00,74721819090,747218,180934678,183454112.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,GEARY ST \ POWELL ST,24903000.0,Central,Financial District/South Beach,3.0,37.78735926098589,-122.40822672700408,"(37.78735926098589, -122.40822672700406)",1
19966,2018-11-07 20:05:00,2018-11-07 00:00:00,20:05,2018,Wednesday,2018-11-07 20:05:00,74219519090,742195,180847203,183414133.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000.0,Mission,Mission,9.0,37.75683373380551,-122.40669900268831,"(37.75683373380551, -122.40669900268833)",2
20263,2018-12-14 19:30:00,2018-12-14 00:00:00,19:30,2018,Friday,2018-12-14 19:30:00,74814819090,748148,180470042,181760246.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,37.760888932091525,-122.43500070269909,"(37.76088893209152, -122.4350007026991)",4
20401,2018-12-14 21:30:00,2018-12-14 00:00:00,21:30,2018,Friday,2018-12-14 21:42:00,74824119090,748241,180942734,183483331.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,EGBERT AVE \ JENNINGS ST,20453000.0,Bayview,Bayview Hunters Point,10.0,37.722657955936725,-122.39260969783658,"(37.722657955936725, -122.39260969783655)",4
20405,2018-12-15 00:40:00,2018-12-15 00:00:00,00:40,2018,Saturday,2018-12-15 00:47:00,74824419090,748244,180943033,183490111.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,AVILA ST \ CHESTNUT ST,26969000.0,Northern,Marina,2.0,37.80030100677404,-122.44030960703606,"(37.80030100677404, -122.44030960703606)",5
20734,2018-12-16 02:24:00,2018-12-16 00:00:00,02:24,2018,Sunday,2018-12-16 02:24:00,74852019090,748520,180945578,183500350.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,24TH ST \ BALMY ST,23985000.0,Mission,Mission,9.0,37.752601145366455,-122.4124635130089,"(37.752601145366455, -122.4124635130089)",6
20912,2018-12-16 15:02:00,2018-12-16 00:00:00,15:02,2018,Sunday,2018-12-16 15:12:00,74869219090,748692,180946504,183502071.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,NEY ST \ MISSION ST,21696000.0,Ingleside,Excelsior,11.0,37.72993058715464,-122.43011091894242,"(37.72993058715464, -122.43011091894242)",6
21689,2018-12-18 00:56:00,2018-12-18 00:00:00,00:56,2018,Tuesday,2018-12-18 04:58:00,74925919090,749259,180950367,183520092.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,FRANK NORRIS ST \ LARKIN ST,25205000.0,Northern,Nob Hill,3.0,37.78937563140157,-122.41875045178871,"(37.78937563140157, -122.4187504517887)",1
22087,2018-12-18 22:30:00,2018-12-18 00:00:00,22:30,2018,Tuesday,2018-12-18 22:34:00,74960519090,749605,180952727,183524038.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,18TH ST \ HARTFORD ST,25792000.0,Mission,Castro/Upper Market,8.0,37.7609547379289,-122.43390358046642,"(37.7609547379289, -122.43390358046642)",1
22094,2018-12-18 21:30:00,2018-12-18 00:00:00,21:30,2018,Tuesday,2018-12-18 21:54:00,74960819090,749608,180952589,183523896.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,STEVENSON ST \ 05TH ST,24888000.0,Tenderloin,South of Market,6.0,37.783528916178064,-122.4074828136046,"(37.783528916178064, -122.4074828136046)",1
22407,2018-12-19 14:32:00,2018-12-19 00:00:00,14:32,2018,Wednesday,2018-12-19 14:37:00,74991719090,749917,180954278,183532362.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,08TH ST \ GROVE ST \ HYDE ST \ MARKET ST,24429000.0,Tenderloin,Tenderloin,6.0,37.77871942789032,-122.4147412230519,"(37.77871942789032, -122.4147412230519)",2
22540,2018-12-19 20:33:00,2018-12-19 00:00:00,20:33,2018,Wednesday,2018-12-19 20:47:00,75002919090,750029,180955389,183533747.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,FULTON ST \ LA PLAYA,27978000.0,Richmond,Outer Richmond,1.0,37.77139603094359,-122.50989475109743,"(37.771396030943585, -122.50989475109745)",2
22669,2018-12-20 02:20:00,2018-12-20 00:00:00,02:20,2018,Thursday,2018-12-20 03:11:00,75010919090,750109,180955981,183540241.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,COLE ST \ HAYES ST,26423000.0,Park,Lone Mountain/USF,5.0,37.77331564418484,-122.45097375506296,"(37.77331564418484, -122.45097375506295)",3
22888,2018-12-20 14:49:00,2018-12-20 00:00:00,14:49,2018,Thursday,2018-12-20 15:03:00,75032419090,750324,180957250,183542262.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,02ND ST \ FOLSOM ST,24519000.0,Southern,Financial District/South Beach,6.0,37.78554213006711,-122.39670517825668,"(37.78554213006711, -122.39670517825668)",3
22938,2018-12-20 15:35:00,2018-12-20 00:00:00,15:35,2018,Thursday,2018-12-20 15:46:00,75037219090,750372,180957404,183542466.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,EXCELSIOR AVE \ MISSION ST,21768000.0,Ingleside,Excelsior,11.0,37.72623624315635,-122.43362359230943,"(37.72623624315635, -122.43362359230944)",3
23094,2018-12-20 22:20:00,2018-12-20 00:00:00,22:20,2018,Thursday,2018-12-20 22:30:00,75047619090,750476,180958612,183543979.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,COLUMBUS AVE \ KEARNY ST,24791000.0,Central,Chinatown,3.0,37.796909056646435,-122.40528839821005,"(37.79690905664644, -122.40528839821003)",3
23504,2018-12-22 00:16:00,2018-12-22 00:00:00,00:16,2018,Saturday,2018-12-22 00:20:00,75085919090,750859,180961477,183560039.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,DOLORES ST \ 15TH ST,25840000.0,Mission,Castro/Upper Market,8.0,37.76626792151857,-122.42653846603581,"(37.76626792151857, -122.42653846603581)",5
24179,2018-12-23 13:37:00,2018-12-23 00:00:00,13:37,2018,Sunday,2018-12-23 13:44:00,75145919090,751459,180964857,183571656.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,16TH ST \ MISSION ST,24170000.0,Mission,Mission,9.0,37.76505133632968,-122.41966897380142,"(37.76505133632968, -122.41966897380142)",6
24243,2018-12-23 16:48:00,2018-12-23 00:00:00,16:48,2018,Sunday,2018-12-23 16:51:00,75151019090,751510,180965300,183572295.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,06TH ST \ MINNA ST,24285000.0,Southern,South of Market,6.0,37.7805353858225,-122.40816079455212,"(37.7805353858225, -122.40816079455212)",6
24697,2018-09-19 00:13:00,2018-09-19 00:00:00,00:13,2018,Wednesday,2018-09-19 00:13:00,73015619090,730156,180709283,182620057.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000.0,Mission,Mission,9.0,37.75683373380551,-122.40669900268831,"(37.75683373380551, -122.40669900268833)",2
24714,2018-09-18 05:53:00,2018-09-18 00:00:00,05:53,2018,Tuesday,2018-09-18 05:53:00,73451619090,734516,189002795,189002795.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,LAKE MERCED BLVD \ FONT BLVD,33541000.0,Taraval,Lakeshore,7.0,37.72399972606433,-122.48507517930891,"(37.72399972606433, -122.4850751793089)",1
26109,2018-12-27 21:48:00,2018-12-27 00:00:00,21:48,2018,Thursday,2018-12-27 21:48:00,75290719090,752907,180975309,183613466.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,GRANT AVE \ MAIDEN LN,24649000.0,Central,Financial District/South Beach,3.0,37.78823029552724,-122.40513139342886,"(37.78823029552724, -122.40513139342886)",3
26588,2018-12-29 00:58:00,2018-12-29 00:00:00,00:58,2018,Saturday,2018-12-29 01:02:00,75333519090,753335,180978660,183630123.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,24TH ST \ FOLSOM ST,23990000.0,Mission,Mission,9.0,37.752506064398666,-122.41408603237402,"(37.752506064398666, -122.41408603237402)",5
26607,2018-12-29 00:25:00,2018-12-29 00:00:00,00:25,2018,Saturday,2018-12-29 00:25:00,75334919090,753349,180978585,183630051.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,19TH ST \ HARRISON ST,24039000.0,Mission,Mission,9.0,37.76062926753335,-122.41268138709144,"(37.76062926753335, -122.41268138709145)",5
26733,2018-12-29 02:40:00,2018-12-29 00:00:00,02:40,2018,Saturday,2018-12-29 02:49:00,75347219090,753472,180978820,183630295.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,GRANT AVE \ COLUMBUS AVE,25330000.0,Central,North Beach,3.0,37.798152055603005,-122.40708292701297,"(37.79815205560301, -122.40708292701295)",5
27267,2018-12-30 12:49:00,2018-12-30 00:00:00,12:49,2018,Sunday,2018-12-30 13:04:00,75393519090,753935,180982592,183641518.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,MISSION ST \ ONONDAGA AVE,21751000.0,Ingleside,Excelsior,11.0,37.72116354747668,-122.43746114104351,"(37.72116354747668, -122.43746114104351)",6
27427,2018-12-31 01:28:00,2018-12-31 00:00:00,01:28,2018,Monday,2018-12-31 01:30:00,75404619090,754046,180983562,183650124.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,EUGENIA AVE \ MISSION ST,21325000.0,Ingleside,Bernal Heights,9.0,37.74219755183286,-122.42208378590405,"(37.74219755183286, -122.42208378590405)",0
27759,2018-12-31 23:55:00,2018-12-31 00:00:00,23:55,2018,Monday,2019-01-01 00:05:00,75433719090,754337,190000021,190010038.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,EDDY ST \ CYRIL MAGNIN ST,24893000.0,Tenderloin,Tenderloin,6.0,37.78445272883687,-122.40849315881205,"(37.78445272883687, -122.40849315881205)",0
31251,2018-01-09 15:25:00,2018-01-09 00:00:00,15:25,2018,Tuesday,2019-01-08 15:31:00,75737819090,757378,190018870,190082293.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,20TH ST \ BRYANT ST,24008000.0,Mission,Mission,9.0,37.75919400928765,-122.40977012254065,"(37.759194009287654, -122.40977012254064)",1
33730,2018-12-05 02:40:00,2018-12-05 00:00:00,02:40,2018,Wednesday,2018-12-05 02:40:00,75951119090,759511,189005824,189005824.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,HOLLOWAY AVE \ CARDENAS AVE,23055000.0,Taraval,Lakeshore,7.0,37.720772800146214,-122.47702086018481,"(37.720772800146214, -122.4770208601848)",2
33753,2018-12-21 01:29:00,2018-12-21 00:00:00,01:29,2018,Friday,2018-12-21 01:29:00,75953719090,759537,189005830,189005830.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,WINSTON DR \ BUCKINGHAM WAY,33513000.0,Taraval,Lakeshore,7.0,37.72821056328196,-122.47869797056971,"(37.728210563281955, -122.4786979705697)",4
